Year,StateTerritory,GeographicUnit,GeographicCode,GeographicAreaName,GeographicGroup,DemographicGroup,EstimatedResidentPopulation
2013-14,NAT,NAT,001NAT,National,National,0-14,4377926
2013-14,NAT,NAT,001NAT,National,National,0-24,7489910
2013-14,NAT,NAT,001NAT,National,National,0-64,19797751
2013-14,NAT,NAT,001NAT,National,National,15-24,3111984
2013-14,NAT,NAT,001NAT,National,National,25-44,6596790
2013-14,NAT,NAT,001NAT,National,National,45-64,5711051
2013-14,NAT,NAT,001NAT,National,National,65+,3330378
2013-14,NAT,NAT,001NAT,National,National,All persons,23128129
2013-14,NAT,NAT,001NAT,National,National,Females,11621964
2013-14,NAT,NAT,001NAT,National,National,Males,11506165
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,0-14,624448
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,0-24,1146688
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,0-64,3224807
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,15-24,522240
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,25-44,1200477
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,45-64,877642
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,65+,481389
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,All persons,3706196
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,Females,1875543
2013-14,,SA3,004-01,Major cities - higher SES,Major cities - higher SES,Males,1830653
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,0-14,1432837
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,0-24,2491328
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,0-64,6671060
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,15-24,1058491
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,25-44,2315598
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,45-64,1864134
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,65+,1076689
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,All persons,7747749
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,Females,3919077
2013-14,,SA3,004-02,Major cities - medium SES,Major cities - medium SES,Males,3828672
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,0-14,1025325
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,0-24,1748187
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,0-64,4426467
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,15-24,722862
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,25-44,1472445
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,45-64,1205835
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,65+,678886
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,All persons,5105353
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,Females,2561419
2013-14,,SA3,004-03,Major cities - lower SES,Major cities - lower SES,Males,2543934
2013-14,,SA3,004-04,Inner regional,Inner regional,0-14,823378
2013-14,,SA3,004-04,Inner regional,Inner regional,0-24,1342986
2013-14,,SA3,004-04,Inner regional,Inner regional,0-64,3484095
2013-14,,SA3,004-04,Inner regional,Inner regional,15-24,519608
2013-14,,SA3,004-04,Inner regional,Inner regional,25-44,991892
2013-14,,SA3,004-04,Inner regional,Inner regional,45-64,1149217
2013-14,,SA3,004-04,Inner regional,Inner regional,65+,756739
2013-14,,SA3,004-04,Inner regional,Inner regional,All persons,4240834
2013-14,,SA3,004-04,Inner regional,Inner regional,Females,2130976
2013-14,,SA3,004-04,Inner regional,Inner regional,Males,2109858
2013-14,,SA3,004-05,Outer regional,Outer regional,0-14,349228
2013-14,,SA3,004-05,Outer regional,Outer regional,0-24,565155
2013-14,,SA3,004-05,Outer regional,Outer regional,0-64,1486170
2013-14,,SA3,004-05,Outer regional,Outer regional,15-24,215927
