Year,StateTerritory,GeographicUnit,GeographicCode,GeographicAreaName,EstimatedResidentPopulation
2017-18,NSW,S/T,002NSW,New South Wales,7861674
2017-18,Vic,S/T,002Vic,Victoria,6321648
2017-18,Qld,S/T,002Qld,Queensland,4929152
2017-18,SA,S/T,002SA,South Australia,1723671
2017-18,WA,S/T,002WA,Western Australia,2575452
2017-18,Tas,S/T,002Tas,Tasmania,522152
2017-18,NT,S/T,002NT,Northern Territory,247491
2017-18,ACT,S/T,002ACT,Australian Capital Territory,411667
2018-19,NSW,S/T,002NSW,New South Wales,7988241
2018-19,Vic,S/T,002Vic,Victoria,6460675
2018-19,Qld,S/T,002Qld,Queensland,5011216
2018-19,SA,S/T,002SA,South Australia,1736422
2018-19,WA,S/T,002WA,Western Australia,2595192
2018-19,Tas,S/T,002Tas,Tasmania,528201
2018-19,NT,S/T,002NT,Northern Territory,247327
2018-19,ACT,S/T,002ACT,Australian Capital Territory,420960
